E;5;down;
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
X,O,S,K,K,K,K,K,S,K,K,S,K,S,K,K,K,B,S,X,
X,S,S,K,K,S,K,K,K,K,K,M,S,K,S,K,K,S,S,X,
X,K,S,K,K,S,S,K,S,K,K,S,K,S,K,K,K,K,K,X,
X,K,K,K,K,K,K,K,K,K,S,K,S,K,K,K,K,K,K,X,
X,S,K,S,K,K,K,K,K,K,K,K,K,K,K,K,K,S,S,X,
X,M,S,K,K,K,S,S,S,S,K,K,S,K,M,S,K,K,K,X,
X,S,K,K,K,K,K,S,S,K,K,K,S,K,K,S,K,K,K,X,
X,K,K,K,B,S,K,K,S,K,K,K,S,K,K,S,K,K,K,X,
X,K,S,K,K,K,K,K,S,K,K,K,K,K,K,K,K,P,S,X,
X,S,S,S,K,K,K,K,K,K,K,K,S,K,K,S,K,K,K,X,
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
